"RegionType","RegionName","City","State","Metro","CBSATitle","SizeRank","MarketHealthIndex","SellForGain","PrevForeclosed","ForeclosureRatio","ZHVI","MoM","YoY","ForecastYoYPctChange","StockOfREOs","NegativeEquity","Delinquency","DaysOnMarket"
"City","New York","New York","NY","New York, NY","""New York-Newark-Jersey City, NY-NJ-PA""",0,9.57840236686391,95.73,1.0234,0.0254,707700,0.811965811965812,14.5145631067961,0.0389656634167019,,0.0678875261579414,0.0998940630363634,155
"City","Los Angeles","Los Angeles","CA","Los Angeles-Long Beach-Anaheim, CA","""Los Angeles-Long Beach-Anaheim, CA""",1,8.81102071005917,96.37,3.4373,1.0175,650200,0.681325487767111,7.91701244813278,0.0275069209474008,,0.0544724139530104,0.0313035630060524,67
"City","Chicago","Chicago","IL","Chicago, IL","""Chicago-Naperville-Elgin, IL-IN-WI""",2,0.992048816568047,81.92,,,221100,-0.0903750564844103,4.39093484419263,0.019280868385346,,0.228913937602891,0.040972971703156,90
"City","Philadelphia","Philadelphia","PA","Philadelphia, PA","""Philadelphia-Camden-Wilmington, PA-NJ-DE-MD""",3,3.14534023668639,87.6,7.2419,5.6924,142800,0.634249471458774,8.59315589353612,0.0375070028011204,,0.148186994559375,0.0748865063761205,84
"City","Phoenix","Phoenix","AZ","Phoenix, AZ","""Phoenix-Mesa-Scottsdale, AZ""",4,8.45784023668639,88.21,5.9816,0.4927,222600,0.587437867148667,9.9802371541502,0.0387690925426774,,0.112508516965411,0.0206925031263307,64
"City","Las Vegas","Las Vegas","NV","Las Vegas, NV","""Las Vegas-Henderson-Paradise, NV""",5,5.74334319526627,81.94,6.9234,1.73,236200,1.24303471924561,14.437984496124,0.0714606265876376,,0.162197221929523,0.0644017863121628,58
"City","San Diego","San Diego","CA","San Diego, CA","""San Diego-Carlsbad, CA""",6,9.24371301775148,96.79,2.5879,0.7721,595800,0.77807848443843,8.58392564242756,0.0415961732124874,,0.0637254718315289,0.015708405336935,52
"City","Dallas","Dallas","TX","Dallas-Fort Worth, TX","""Dallas-Fort Worth-Arlington, TX""",7,9.83635355029586,96.65,2.2737,0.6355,175200,0.689655172413793,10.0502512562814,0.0524486301369862,,,,66
"City","San Jose","San Jose","CA","San Jose, CA","""San Jose-Sunnyvale-Santa Clara, CA""",8,9.8280325443787,97.97,2.2161,0.3768,972500,2.03546322526492,15.361803084223,0.0837038560411312,,0.030384420274499,0.0110590876127439,39
"City","Jacksonville","Jacksonville","FL","Jacksonville, FL","""Jacksonville, FL""",9,4.51923076923077,80.76,,,158300,0.507936507936508,10.1600556715379,0.0416108654453569,,0.162267910008616,0.0613075037860584,74
"City","San Francisco","San Francisco","CA","San Francisco, CA","""San Francisco-Oakland-Hayward, CA""",10,9.93713017751479,98.6,1.0451,0.2208,1275700,1.10160088762086,12.843874391862,0.0484236105667477,,0.0341619577705191,0.00825197892531821,40
"City","Austin","Austin","TX","Austin, TX","""Austin-Round Rock, TX""",11,9.41937869822485,100,,,331000,0.60790273556231,8.31151832460733,0.0337160120845921,,,,65
"City","Detroit","Detroit","MI","Detroit, MI","""Detroit-Warren-Dearborn, MI""",12,6.04474852071006,100,,,44900,-0.883002207505519,22.6775956284153,0.0700890868596882,,0.361762843797311,0.0402413190935836,96
"City","Columbus","Columbus","OH","Columbus, OH","""Columbus, OH""",13,4.57377958579882,85.8,6.5502,6.7884,136000,0.965107646622123,9.50080515297907,0.0480588235294117,,0.116894165221145,0.0440141937762667,57
"City","Memphis","Memphis","TN","Memphis, TN","""Memphis, TN-MS-AR""",14,2.96690088757396,80.73,9.0741,4.19,80400,1.38713745271122,2.9449423815621,0.0352985074626866,,0.149323320834595,0.0621360609202862,73.5
"City","Charlotte","Charlotte","NC","Charlotte, NC","""Charlotte-Concord-Gastonia, NC-SC""",15,6.6198224852071,91.03,6.6284,2.0137,195700,1.03252452245741,10.6274731486716,0.0455646397547267,,0.103314848331934,0.0314026296538218,56
"City","El Paso","El Paso","TX","El Paso, TX","""El Paso, TX""",16,1.53568786982249,0,,,115000,0.0870322019147084,1.50044130626655,0.030895652173913,,,,97
"City","Boston","Boston","MA","Boston, MA","""Boston-Cambridge-Newton, MA-NH""",17,7.87444526627219,97.69,,4.7159,561600,0.249910746162085,7.83410138248848,0.0395886752136752,,0.0937354731973093,0.0153140829349574,70.5
"City","Seattle","Seattle","WA","Seattle, WA","""Seattle-Tacoma-Bellevue, WA""",18,9.7864275147929,98.27,1.8901,0.5166,708600,1.31541321132399,15.2007803609169,0.0619587919841942,,0.0563962387522835,0.00473470067886933,38
"City","Baltimore","Baltimore","MD","Baltimore, MD","""Baltimore-Columbia-Towson, MD""",19,2.12647928994083,82.21,12.0165,3.4898,125600,0.721732157177225,7.71869639794168,0.0199363057324842,,0.223436429412225,0.0692461924137496,104
"City","Denver","Denver","CO","Denver, CO","""Denver-Aurora-Lakewood, CO""",20,9.31120562130178,98.89,1.038,0.083,389900,0.541516245487365,6.32669757294791,0.0315260323159785,,0.0597004636731827,0.00281943782069466,51
"City","Washington","Washington","DC","Washington, VA","""Washington-Arlington-Alexandria, DC-VA-MD-WV""",21,4.92141272189349,97.68,1.8441,1.5138,544600,0.220831799779168,2.65786993402451,0.012478883584282,,0.0960487733081158,0.045304544508765,60
"City","Nashville","Nashville","TN","Nashville, TN","""Nashville-Davidson--Murfreesboro--Franklin, TN""",22,9.18361686390532,96.53,1.9917,1.3726,241400,0.625260525218841,12.2790697674419,0.0378086164043081,,0.0695724353290184,0.00792606558948664,56
"City","Milwaukee","Milwaukee","WI","Milwaukee, WI","""Milwaukee-Waukesha-West Allis, WI""",23,4.03938609467456,80.62,4.3748,2.7826,111100,0.542986425339366,8.92156862745098,0.0394239423942395,,0.242027937036349,0.0557496546501527,78
"City","Tucson","Tucson","AZ","Tucson, AZ","""Tucson, AZ""",24,6.90551035502959,85.25,6.0721,1.3799,170600,0.8274231678487,7.9746835443038,0.04447245017585,,0.143506060923195,0.0342907903995527,68
"City","Portland","Portland","OR","Portland, OR","""Portland-Vancouver-Hillsboro, OR-WA""",25,7.19397189349112,99.04,2.7232,1.2832,404500,-0.27120315581854,0.471932439145554,0.0234239802224969,,0.0369509502426822,0.0152183458899335,63
"City","Oklahoma City","Oklahoma City","OK","Oklahoma City, OK","""Oklahoma City, OK""",26,5.7553624260355,92.69,2.5963,0.1379,133000,0.226073850791258,1.06382978723404,0.0277969924812029,,0.0884625322210376,0.0348251561451208,69
"City","Omaha","Omaha","NE","Omaha, NE","""Omaha-Council Bluffs, NE-IA""",27,9.58394970414201,100,1.1038,0.0389,159700,0.757097791798107,7.83254557731263,0.0360488415779587,,0.0591048248009756,0.00794160376161505,56
"City","Albuquerque","Albuquerque","NM","Albuquerque, NM","""Albuquerque, NM""",28,1.50425295857988,75,,,185500,0.0539374325782093,2.26019845644983,0.0310781671159031,,0.121093361619476,0.0542196141954667,77
"City","Fresno","Fresno","CA","Fresno, CA","""Fresno, CA""",29,5.4585798816568,88,6.0735,2.327,221600,0.407793384685093,10.2487562189055,0.0412364620938628,,0.127837851705125,0.0360267240729383,57.5
"City","Sacramento","Sacramento","CA","Sacramento, CA","""Sacramento--Roseville--Arden-Arcade, CA""",30,8.57248520710059,93.14,5.3576,1.0737,312900,0.870406189555126,10.2925625660909,0.0591690635985938,,0.0918833403624543,0.0279207444435846,52
"City","Mesa","Mesa","AZ","Phoenix, AZ","""Phoenix-Mesa-Scottsdale, AZ""",31,7.10151627218935,89.71,3.8656,0.5573,229700,0.349497597204019,6.63881151346332,0.0303874619068349,,0.0939940211940775,0.0195372474042479,55
"City","Long Beach","Long Beach","CA","Los Angeles-Long Beach-Anaheim, CA","""Los Angeles-Long Beach-Anaheim, CA""",32,7.3178624260355,94.49,2.4498,0.6262,573600,0.596282006313574,7.11484593837535,0.0225767085076709,,0.067039492619775,0.0315224534835336,56
"City","Kansas City","Kansas City","MO","Kansas City, MO","""Kansas City, MO-KS""",33,4.18084319526627,81.69,,,126100,0.799360511590727,8.89464594127807,0.035836637589215,,0.177398335450423,0.0274919334620819,59
"City","Virginia Beach","Virginia Beach","VA","Virginia Beach, VA","""Virginia Beach-Norfolk-Newport News, VA-NC""",34,1.27126479289941,84.4,5.6915,4.2384,258800,0.0386548125241593,1.60973694542599,0.0164528593508502,,0.153159501140609,0.029666657636875,77
"City","Colorado Springs","Colorado Springs","CO","Colorado Springs, CO","""Colorado Springs, CO""",35,8.20451183431953,97.94,1.1294,,262600,0.535987748851455,9.4622759483118,0.0338233054074639,,0.0810629696253376,0.0107712998812719,53
"City","Atlanta","Atlanta","GA","Atlanta, GA","""Atlanta-Sandy Springs-Roswell, GA""",36,6.69008875739645,100,,,216700,0.2776492364646,8.35,0.0486155976003693,,0.194865766897378,0.0297805941581487,63
"City","Miami","Miami","FL","Miami-Fort Lauderdale, FL","""Miami-Fort Lauderdale-West Palm Beach, FL""",37,0.279215976331361,84.75,,,306500,0.0979751796211626,2.09860093271153,0.00109624796084828,,0.125949698887346,0.0588098354150914,173
